Date,Year,Type,Area,Location,Sex,Injury,Fatal,Time,Species,AgeGroup,ActivityGroup,CleanedCountry,TimeOfDay,TimePeriod,country
2018-06-25,2018.0,Boating,California,"Oceanside, San Diego County",Female,No injury,False,18h00,Great White Shark,Adult,In Water,Other/Unknown,Evening,Evening,United States
2018-06-18,2018.0,Unprovoked,Georgia,"St. Simon Island, Glynn County",Female,Minor injury,False,14h00  -15h00,Unknown Shark,Child,In Water,Other/Unknown,Afternoon,Afternoon,Unknown
2018-06-09,2018.0,Invalid,Hawaii,"Habush, Oahu",Male,Unknown,False,07h45,Unknown Shark,Adult,In Water,Other/Unknown,Morning,Morning,Unknown
2018-06-08,2018.0,Unprovoked,New South Wales,Arrawarra Headland,Male,Minor injury,False,,Unknown Shark,,In Water,Oceania,Unknown,Unknown,Australia
2018-06-04,2018.0,Provoked,Colima,La Ticla,Male,Unknown,False,,Tiger Shark,,In Water,North America,Unknown,Unknown,Unknown
2018-06-03,2018.0,Unprovoked,New South Wales,"Flat Rock, Ballina",Male,No injury,False,,Unknown Shark,,In Water,Oceania,Unknown,Unknown,Australia
2018-06-03,2018.0,Unprovoked,Pernambuco,"Piedade Beach, Recife",Male,Fatal injury,True,Late afternoon,Tiger Shark,Teen,In Water,South America,Afternoon,Afternoon,Brasil
2018-05-27,2018.0,Unprovoked,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Male,Minor injury,False,,Lemon Shark,Adult,On Boat,Other/Unknown,Unknown,Unknown,Unknown
2018-05-26,2018.0,Unprovoked,Florida,"Cocoa Beach, Brevard  County",Male,Unknown,False,17h00,Bull Shark,Teen,Other/Unknown,Other/Unknown,Afternoon,Evening,United States
2018-05-26,2018.0,Unprovoked,Florida,"Daytona Beach, Volusia County",Male,Minor injury,False,14h00,Unknown Shark,Child,In Water,Other/Unknown,Afternoon,Afternoon,United States
2018-05-24,2018.0,Provoked,Queensland,Cairns Aquarium,Male,Minor injury,False,Morning,Gray Reef Shark,Adult,Other/Unknown,Oceania,Morning,Morning,Australia
2018-05-21,2018.0,Unprovoked,South Carolina,"Isle Of Palms,  Charleston County",Male,Unknown,False,,Unknown Shark,Child,Other/Unknown,Other/Unknown,Unknown,Unknown,United States
2018-05-13,2018.0,Unprovoked,South Carolina,"Hilton Head Island, Beaufort County",Male,Unknown,False,15h00,Unknown Shark,Child,In Water,Other/Unknown,Afternoon,Afternoon,United States
2018-05-13,2018.0,Invalid,Cornwall,Off Land'S End,Male,Unknown,False,08h15,Unknown Shark,Adult,On Boat,Europe,Morning,Morning,Unknown
,2018.0,Provoked,Westerm Australia,Dugong Bay,Female,Unknown,False,,Nurse Shark,Adult,Other/Unknown,Oceania,Unknown,Unknown,Unknown
2018-05-12,2018.0,Unprovoked,Eastern Cape Province,"Nahoon Beach, East London",Male,Minor injury,False,11h00,Unknown Shark,,In Water,Unknown,Morning,Morning,South Africa
2018-05-09,2018.0,Questionable,New South Wales,"Sharpes Beach, Ballina",Male,No injury,False,10h30,Unknown Shark,,In Water,Oceania,Morning,Morning,Unknown
,2018.0,Unprovoked,Hua Hin,Sai Noi Beach,Male,Minor injury,False,,Unknown Shark,,In Water,Asia,Unknown,Unknown,ประเทศไทย
2018-04-28,2018.0,Unprovoked,Cocos Island,Manuelita,Male,No injury,False,10h40,Tiger Shark,Adult,In Water,North America,Morning,Morning,Costa Rica
2018-04-28,2018.0,Unprovoked,Western Australia,Gearys Beach,Male,No injury,False,16h50,Unknown Shark,,In Water,Oceania,Afternoon,Evening,Unknown
2018-04-25,2018.0,Questionable,New South Wales,Lennox Head,Male,No injury,False,07h00,Unknown Shark,,In Water,Oceania,Morning,Morning,Australia
2018-04-25,2018.0,Unprovoked,Western Australia,"Surfers Point, Prevelly",Male,No injury,False,09h30,Unknown Shark,Adult,In Water,Oceania,Morning,Morning,Australia
2018-04-24,2018.0,Unprovoked,Western Australia,"South Point, Gracetown",Male,No injury,False,Afternoon,Great White Shark,,In Water,Oceania,Afternoon,Afternoon,Unknown
2018-04-23,2018.0,Unprovoked,Alifu Alifu Atoll,Madoogali,Male,Unknown,False,21h50,Tiger Shark,Adult,On Boat,Asia,Evening,Overnight,Unknown
2018-04-22,2018.0,Unprovoked,Western Cape Province,"Robberg Beach, Plettenberg Bay",Male,No injury,False,09h40,Great White Shark,Adult,Other/Unknown,Unknown,Morning,Morning,South Africa
